Identifier,Series,Canonical SMILES,Smiles,IC50 uM,PIC50
TB-VS12-87,Series A,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C)=C1.[HCl],CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C)=C1.[HCl],0.39,6.4089353929735005
TB-VS12-88,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C=C3)Cl)N2CCCN)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C=C3)Cl)N2CCCN)=CN=C1,28.51,4.54500278269054
TB-VS12-97,Series A,O=C1NC(C=CN1[C@@H]2O[C@H](CSC3=NN=C(C4=CC(C#CCCCCCC)=CN=C4)N3C)[C@@H](O)[C@H]2O)=O,O=C1NC(C=CN1[C@@H]2O[C@H](CSC3=NN=C(C4=CC(C#CCCCCCC)=CN=C4)N3C)[C@@H](O)[C@H]2O)=O,97.71,4.010060986715464
TB-VS12-94,Series A,CN1C(C2=CC(OCCC)=CN=C2)=NN=C1SCC3=CC=C(Cl)C=C3,CN1C(C2=CC(OCCC)=CN=C2)=NN=C1SCC3=CC=C(Cl)C=C3,3.508,5.454940415305997
TB-VS12-95,non_numeric,CN1C(C2=CC(OCCC)=CN=C2)=NN=C1SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3,CN1C(C2=CC(OCCC)=CN=C2)=NN=C1SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3,>100,
TB-VS12-96,non_numeric,CCCCCCC#CC1=CN=CC(C(N2C3CC3)=NN=C2SCC4=CC=C([N+]([O-])=O)O4)=C1.[HCl],CCCCCCC#CC1=CN=CC(C(N2C3CC3)=NN=C2SCC4=CC=C([N+]([O-])=O)O4)=C1.[HCl],>100,
TB-VS12-97,Series A,O=C1NC(C=CN1[C@@H]2O[C@H](CSC3=NN=C(C4=CC(C#CCCCCCC)=CN=C4)N3C)[C@@H](O)[C@H]2O)=O,O=C1NC(C=CN1[C@@H]2O[C@H](CSC3=NN=C(C4=CC(C#CCCCCCC)=CN=C4)N3C)[C@@H](O)[C@H]2O)=O,97.71,4.010060986715464
TB-VS12-98,Series A,OCCN1C(C2=CC(C#CCCCCCCC)=CN=C2)=NN=C1SCC3=CC=C(Cl)C=C3,OCCN1C(C2=CC(C#CCCCCCCC)=CN=C2)=NN=C1SCC3=CC=C(Cl)C=C3,49.09,4.309006967900131
TB-VS12-99,Series A,OCCN1C(C2=CC(C#CCCCCCCC)=CN=C2)=NN=C1SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3,OCCN1C(C2=CC(C#CCCCCCCC)=CN=C2)=NN=C1SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3,1.43,5.844663962534939
TB-VS12-100,Series A,O=C(O)C(F)(F)F.S=C1N(C[C@H]2O[C@H]([C@@H]([C@@H]2O)O)N3C=CC(NC3=O)=O)N=C(N1CCCN)C4=CC(C#CCCCCCC)=CN=C4,O=C(O)C(F)(F)F.S=C1N(C[C@H]2O[C@H]([C@@H]([C@@H]2O)O)N3C=CC(NC3=O)=O)N=C(N1CCCN)C4=CC(C#CCCCCCC)=CN=C4,193,3.714442690992226
TB-VS12-101,Series A,O=C(O)C(F)(F)F.O=C(N1)C=CN([C@@H]2O[C@H](CSC3=NN=C(N3CCCN)C4=CC(C#CCCCCCC)=CN=C4)[C@@H](O)[C@H]2O)C1=O,O=C(O)C(F)(F)F.O=C(N1)C=CN([C@@H]2O[C@H](CSC3=NN=C(N3CCCN)C4=CC(C#CCCCCCC)=CN=C4)[C@@H](O)[C@H]2O)C1=O,200,3.6989700043360187
TB-VS12-102,Series A,ClC(C=C1)=CC=C1CSC2=NN=C(N2C3CC3)C4=CC(N5CC(OCCCCC)C5)=CN=C4,ClC(C=C1)=CC=C1CSC2=NN=C(N2C3CC3)C4=CC(N5CC(OCCCCC)C5)=CN=C4,4.368,5.359717370303319
TB-VS12-103,Series A,O=C1NC2=C(C=CC=C2)C(CSC3=NN=C(C4=CC(C#CCCCCCC)=CN=C4)N3C)=C1,O=C1NC2=C(C=CC=C2)C(CSC3=NN=C(C4=CC(C#CCCCCCC)=CN=C4)N3C)=C1,200,3.6989700043360187
TB-VS12-104,Series A,O=C(N1)C=CN([C@@H]2O[C@H](CSC3=NN=C(N3CCO)C4=CC(C#CCCCCCC)=CN=C4)[C@@H](O)[C@H]2O)C1=O,O=C(N1)C=CN([C@@H]2O[C@H](CSC3=NN=C(N3CCO)C4=CC(C#CCCCCCC)=CN=C4)[C@@H](O)[C@H]2O)C1=O,196.3,3.707079700399994
TB-VS12-105,non_numeric,ClC1=CC=C(C=C1)CSC2=NN=C(C3=CC(O)=CN=C3)N2C,ClC1=CC=C(C=C1)CSC2=NN=C(C3=CC(O)=CN=C3)N2C,,
TB-VS12-106,Series A,CN1C(C2=CC(C#CCCCCCC)=CN=C2)=NN=C1SCC3=CC(Br)=CN=C3,CN1C(C2=CC(C#CCCCCCC)=CN=C2)=NN=C1SCC3=CC(Br)=CN=C3,16.91,4.771856392402258
TB-VS12-107,Series A,CCCCCCC#CC1=CN=CC(C(N2CCCN)=NN=C2SCC3=CC=C([N+]([O-])=O)O3)=C1.[HCl].[HCl],CCCCCCC#CC1=CN=CC(C(N2CCCN)=NN=C2SCC3=CC=C([N+]([O-])=O)O3)=C1.[HCl].[HCl],12.67,4.8972233851165585
TB-VS12-108,Series A,CCCCCCC#CC1=CN=CC(C(N2CCO)=NN=C2SCC3=CC=C([N+]([O-])=O)O3)=C1,CCCCCCC#CC1=CN=CC(C(N2CCO)=NN=C2SCC3=CC=C([N+]([O-])=O)O3)=C1,1.322,5.878768544850378
TB-VS12-111,Series A,NCCCN1C(SCC2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,NCCCN1C(SCC2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,3.19,5.496209316942819
TB-VS12-112,Series A,NCCCN1C(SCC2=CC=C([N+]([O-])=O)O2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,NCCCN1C(SCC2=CC=C([N+]([O-])=O)O2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,12.07,4.918292729902651
TB-VS12-113,Series A,NCCCN1C(SCC2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,NCCCN1C(SCC2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,4.6875,5.329058719264225
TB-VS12-114,non_numeric,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C4CNC4)=C1,CCCCCCC#CC1=CN=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2C4CNC4)=C1,,
